latitude,longitude,acq_time_npt,date,temperature,humidity,windspeed,pressure,cloudcover,precipitation,non_fire
29.4103,82.2845,13:56,2024-01-13,7.5,12.0,14.0,658.3,57.2,2.7,0
29.1366,82.6296,13:56,2024-01-13,10.0,15.0,4.5,688.1,89.6,0.9,0
29.7566,81.6404,13:56,2024-01-13,8.7,22.0,7.9,690.5,80.3,14.8,0
29.7726,81.9914,13:56,2024-01-13,17.2,14.0,3.9,789.6,49.8,6.1,0
29.7581,81.6504,13:56,2024-01-13,9.4,22.0,7.9,698.7,47.4,14.8,0
29.7654,81.6392,13:56,2024-01-13,1.7,43.0,5.4,635.5,40.8,25.9,0
29.767,81.6494,13:56,2024-01-13,1.9,43.0,5.4,637.5,89.1,25.9,0
29.0274,81.8869,13:56,2024-01-13,7.8,27.0,10.6,669.5,82.7,3.4,0
29.9552,80.7055,13:57,2024-01-13,16.1,27.0,5.0,785.3,67.3,24.6,0
26.4256,87.2376,13:40,2024-01-15,18.8,75.0,4.0,994.5,85.1,9.4,0
27.5336,84.5607,14:06,2024-01-18,20.7,53.0,1.8,976.0,54.3,1.2,0
29.4302,81.4348,14:07,2024-01-18,12.9,43.0,8.2,826.3,50.2,13.6,0
29.7548,81.7182,10:36,2024-01-20,-1.1,60.0,7.7,711.5,62.9,17.4,0
26.7405,86.1473,13:50,2024-01-20,20.5,56.0,10.5,991.9,52.7,0.9,0
26.6366,86.9818,13:50,2024-01-20,21.2,56.0,9.3,992.5,46.0,13.6,0
27.048,87.1808,13:50,2024-01-20,22.3,42.0,10.2,981.8,52.6,2.9,0
29.5119,81.7161,13:51,2024-01-20,16.1,29.0,11.7,834.2,45.7,15.1,0
29.5045,81.7289,13:51,2024-01-20,15.9,29.0,11.7,831.7,48.0,15.1,0
29.0083,82.6812,13:51,2024-01-20,4.7,67.0,5.0,743.0,42.4,0.8,0
28.5462,83.6633,13:51,2024-01-20,5.7,68.0,4.5,783.4,42.4,0.8,0
29.5026,81.7175,13:51,2024-01-20,16.9,30.0,11.7,846.1,57.5,15.1,0
29.5856,82.2807,14:17,2024-01-23,9.9,44.0,6.9,804.7,60.1,1.3,0
28.8053,82.527,10:43,2024-01-25,0.8,44.0,4.8,731.4,89.5,0.8,0
29.1842,81.644,10:43,2024-01-25,8.1,39.0,6.4,819.5,88.3,3.8,0
26.6293,86.9677,14:00,2024-01-25,20.2,59.0,11.3,992.6,59.2,13.6,0
27.2254,86.0711,14:00,2024-01-25,15.9,41.7,2.0,988.9,66.3,1.9,0
27.8989,83.1638,14:01,2024-01-25,9.4,41.0,9.2,806.6,55.8,7.5,0
27.5428,84.0908,14:01,2024-01-25,19.5,58.0,6.8,985.6,45.7,0.9,0
27.782,83.8057,14:01,2024-01-25,16.8,44.0,7.8,908.0,54.4,23.7,0
28.0364,83.2997,14:01,2024-01-25,14.1,50.7,3.0,990.3,80.3,16.7,0
29.179,81.6454,14:01,2024-01-25,13.2,42.0,8.0,860.8,55.3,3.5,0
29.1894,81.6479,14:01,2024-01-25,7.5,40.0,8.0,779.0,54.0,6.7,0
29.6046,81.7839,14:01,2024-01-25,12.4,34.0,5.4,831.1,55.6,15.1,0
29.7236,81.7128,14:01,2024-01-25,9.9,22.0,2.7,799.1,82.8,15.1,0
29.1068,82.1192,10:26,2024-01-27,-1.2,34.0,5.8,666.9,54.2,3.4,0
26.6742,87.7227,13:45,2024-01-27,19.9,54.0,9.9,987.3,57.9,5.8,0
27.5564,84.4915,13:45,2024-01-27,17.9,68.0,8.7,980.6,59.4,0.7,0
27.5595,84.6914,13:45,2024-01-27,19.3,51.0,3.6,975.6,45.8,1.5,0
27.4761,84.6937,13:45,2024-01-27,16.2,62.0,8.6,957.5,61.8,3.2,0
29.3223,81.6373,13:46,2024-01-27,1.5,42.0,5.6,672.1,41.6,6.0,0
29.1821,82.1112,14:27,2024-01-28,4.6,23.0,8.7,662.9,48.0,3.4,0
29.6137,82.0005,14:27,2024-01-28,14.4,14.0,6.4,780.9,49.0,6.1,0
29.6107,81.9904,14:27,2024-01-28,17.4,15.0,6.4,823.7,88.1,6.1,0
29.6122,82.0066,14:27,2024-01-28,11.1,20.0,1.5,754.1,55.1,5.1,0
27.0074,85.8696,10:09,2024-01-29,18.3,48.3,2.3,1000.2,86.8,0.3,0
26.6739,87.0308,10:09,2024-01-29,16.0,60.0,1.9,992.4,84.3,13.6,0
27.0236,87.5514,13:29,2024-01-29,20.6,52.4,4.7,1012.4,50.1,0.2,0
27.0217,87.5395,13:29,2024-01-29,22.3,43.6,3.4,981.5,81.2,0.2,0
26.5481,87.2931,13:29,2024-01-29,21.5,50.0,2.6,992.4,43.1,10.2,0
26.4486,86.8143,13:29,2024-01-29,20.6,53.0,5.2,994.3,83.7,8.6,0
28.8867,80.2386,13:30,2024-01-29,18.8,62.0,5.8,979.9,40.2,26.2,0
27.542,84.4705,13:30,2024-01-29,20.7,50.0,5.5,979.5,66.1,0.7,0
26.8356,86.2167,10:33,2024-02-01,20.5,41.0,1.3,992.2,54.7,0.5,0
26.5937,86.9785,13:55,2024-02-01,23.4,46.0,5.3,992.9,49.6,13.6,0
28.2061,84.861,13:55,2024-02-01,8.3,76.0,6.1,830.6,63.6,11.8,0
27.5485,84.4894,13:55,2024-02-01,20.2,56.0,7.9,980.6,83.0,0.7,0
27.5395,84.491,13:55,2024-02-01,20.2,56.0,7.9,980.2,41.4,0.7,0
27.5409,84.5012,13:55,2024-02-01,20.2,56.0,7.9,980.2,58.6,0.7,0
27.5694,84.9183,13:55,2024-02-01,16.9,50.0,6.6,907.3,82.6,24.4,0
27.4048,84.516,13:55,2024-02-01,20.3,50.0,1.6,959.4,86.6,0.8,0
27.1367,87.1799,13:55,2024-02-01,19.8,49.0,4.7,992.8,57.3,0.8,0
26.6439,86.964,13:55,2024-02-01,23.2,47.0,5.4,992.5,51.2,13.6,0
26.6036,86.977,13:55,2024-02-01,23.4,46.0,5.3,993.2,42.7,13.6,0
28.7577,80.2161,13:56,2024-02-01,15.2,87.0,9.4,981.2,49.2,12.7,0
28.7557,80.2043,13:56,2024-02-01,15.2,87.0,9.4,981.0,65.7,12.7,0
29.1026,81.3738,13:56,2024-02-01,7.2,78.0,4.7,850.3,69.6,5.5,0
27.1255,87.6189,21:30,2024-02-01,12.2,40.7,2.8,1008.2,64.5,0.2,0
28.6566,82.7106,21:30,2024-02-01,6.9,89.0,1.8,838.6,43.8,5.1,0
28.6602,82.7309,21:30,2024-02-01,1.6,96.0,5.4,769.0,47.9,3.9,0
26.7381,86.1458,13:39,2024-02-03,19.9,56.0,13.6,991.8,52.0,0.9,0
26.6248,87.0446,13:39,2024-02-03,20.3,57.0,12.7,992.6,64.4,13.6,0
26.7397,86.1561,13:39,2024-02-03,19.8,56.0,13.6,991.6,67.1,0.9,0
26.8397,86.0885,13:39,2024-02-03,19.9,54.9,4.0,1005.9,59.6,0.5,0
27.7247,84.7401,13:40,2024-02-03,17.0,57.0,4.9,899.1,52.8,28.3,0
27.8932,85.1433,13:40,2024-02-03,20.3,42.0,6.6,942.1,69.1,24.4,0
27.8915,85.1327,13:40,2024-02-03,19.9,42.0,6.6,935.9,67.8,24.4,0
27.3877,87.7716,13:24,2024-02-05,9.1,59.0,4.8,801.2,87.9,0.0,0
28.7052,82.9407,13:24,2024-02-05,1.0,47.0,12.3,680.5,66.4,3.9,0
28.9977,82.6647,13:24,2024-02-05,10.3,42.0,8.9,791.6,47.3,0.8,0
28.5303,83.6133,10:39,2024-02-06,3.0,70.0,4.5,742.4,67.1,1.2,0
27.5975,84.1694,14:05,2024-02-06,20.6,62.0,14.3,984.6,42.1,2.5,0
28.4382,82.1479,14:05,2024-02-06,13.3,39.0,10.7,828.4,63.7,5.3,0
28.5515,83.6567,14:05,2024-02-06,5.3,56.0,3.3,779.7,63.8,0.8,0
28.4972,83.6143,14:05,2024-02-06,4.2,58.5,3.4,982.6,61.2,1.4,0
27.5553,84.1509,14:05,2024-02-06,20.4,67.0,15.1,985.0,58.6,0.9,0
28.4873,84.3731,14:05,2024-02-06,6.0,84.0,5.2,787.6,57.6,0.1,0
28.7565,80.1665,14:06,2024-02-06,19.7,59.0,12.7,981.3,47.4,20.4,0
30.0096,80.7336,14:06,2024-02-06,4.8,63.0,4.4,769.5,58.2,24.6,0
29.64,81.3104,14:06,2024-02-06,10.6,42.0,6.1,844.7,41.4,16.3,0
29.6413,81.3203,14:06,2024-02-06,8.1,41.0,6.1,808.9,49.9,16.9,0
28.7204,82.6704,09:41,2024-02-07,3.1,27.0,4.8,718.9,82.5,2.9,0
28.7238,82.6771,09:41,2024-02-07,5.1,27.0,3.7,748.8,83.9,4.7,0
27.5424,84.3295,13:08,2024-02-07,18.7,68.0,6.2,980.0,84.5,1.2,0
27.5369,84.3347,13:08,2024-02-07,19.4,63.0,7.2,978.9,51.1,1.2,0
29.6859,81.3249,14:47,2024-02-07,11.8,40.0,9.7,827.9,82.5,16.9,0
29.8225,80.6158,10:21,2024-02-08,5.4,37.0,0.8,778.0,61.2,21.2,0
27.1984,87.0824,10:22,2024-02-08,9.1,58.4,4.2,1011.1,44.0,0.1,0
26.4867,87.7363,13:49,2024-02-08,19.9,52.0,13.7,993.3,60.1,15.8,0
27.817,85.9093,13:49,2024-02-08,13.5,25.0,8.4,813.5,88.7,4.7,0
27.8184,85.9194,13:49,2024-02-08,14.0,25.0,8.4,818.8,59.6,5.0,0
27.5491,84.1752,13:49,2024-02-08,18.1,61.0,12.6,984.2,40.1,0.9,0
27.5554,84.4002,13:49,2024-02-08,18.1,61.0,11.4,980.2,58.5,1.2,0
27.5789,87.163,13:49,2024-02-08,10.5,51.0,10.8,808.8,80.2,2.8,0
27.1512,84.8539,13:49,2024-02-08,18.6,59.0,13.7,989.9,64.5,2.1,0
27.4302,87.4377,13:49,2024-02-08,6.6,49.0,3.8,755.4,62.4,0.8,0
27.0913,85.6601,13:49,2024-02-08,18.9,59.0,11.0,980.4,84.7,0.2,0
27.3018,87.4938,13:49,2024-02-08,8.3,45.7,4.8,1013.2,42.8,26.9,0
27.3252,87.7523,13:49,2024-02-08,14.5,38.0,8.8,852.1,68.7,0.0,0
26.9623,85.8593,13:49,2024-02-08,18.3,55.6,3.7,991.7,88.3,0.3,0
27.0134,86.7683,13:49,2024-02-08,17.9,60.0,7.6,934.2,55.6,2.2,0
27.0147,86.7782,13:49,2024-02-08,16.2,59.0,7.6,908.4,60.0,2.5,0
27.0179,87.5073,13:49,2024-02-08,16.4,40.8,4.9,1011.4,59.4,0.2,0
29.5566,81.7184,13:50,2024-02-08,10.0,18.0,9.0,753.6,55.9,4.1,0
28.2191,84.9032,13:50,2024-02-08,9.2,55.0,7.8,808.1,45.2,11.8,0
28.2177,84.8934,13:50,2024-02-08,11.2,55.0,7.8,838.6,87.3,11.8,0
28.2165,84.822,13:50,2024-02-08,9.6,55.0,7.8,814.7,85.6,11.8,0
28.126,83.4786,13:50,2024-02-08,13.3,39.0,6.6,838.7,54.9,3.4,0
28.336,84.6238,13:50,2024-02-08,-6.7,73.0,3.3,627.7,61.8,0.8,0
28.3746,84.385,13:50,2024-02-08,11.5,62.0,9.4,838.9,40.4,1.7,0
29.1596,82.1812,13:50,2024-02-08,1.0,33.0,10.7,677.4,61.6,3.4,0
29.6055,82.2468,13:50,2024-02-08,3.9,46.0,3.5,714.3,65.6,1.3,0
29.6039,82.2368,13:50,2024-02-08,2.5,46.0,3.5,699.7,65.5,1.3,0
27.0683,87.5463,12:53,2024-02-09,20.8,49.9,4.1,1013.3,58.8,0.2,0
27.0694,87.5401,12:53,2024-02-09,20.1,42.8,3.2,1005.8,59.7,0.2,0
29.3027,82.4447,14:31,2024-02-09,0.3,21.0,4.3,642.3,44.0,5.0,0
28.6375,82.7872,14:31,2024-02-09,16.2,36.0,8.5,835.5,59.3,5.1,0
28.7725,80.1528,14:31,2024-02-09,18.8,64.0,8.9,981.0,69.2,20.4,0
28.7789,80.1464,14:31,2024-02-09,18.8,64.0,8.9,980.9,69.6,20.4,0
29.3008,82.4221,14:31,2024-02-09,6.1,5.0,9.4,674.1,66.6,3.1,0
28.612,81.2599,10:05,2024-02-10,16.6,71.0,6.5,979.9,81.7,12.5,0
28.6095,81.2536,10:05,2024-02-10,15.6,74.0,4.3,979.7,89.2,12.5,0
26.6139,87.4006,13:33,2024-02-10,24.3,43.0,6.4,990.0,44.5,20.8,0
26.6468,87.7882,13:33,2024-02-10,24.1,45.0,6.2,987.6,44.3,5.8,0
27.0831,87.5573,13:34,2024-02-10,21.9,44.3,2.5,982.9,51.2,0.7,0
28.5996,82.8147,13:34,2024-02-10,11.4,35.0,10.7,751.7,47.4,3.9,0
28.16,84.3414,13:34,2024-02-10,19.3,42.0,5.0,897.8,82.2,1.1,0
27.6141,84.191,13:34,2024-02-10,22.3,47.0,7.1,983.8,51.1,2.7,0
27.5449,84.4747,13:34,2024-02-10,23.0,48.0,6.0,979.3,51.0,0.7,0
27.5474,84.4888,13:34,2024-02-10,23.1,48.0,6.0,980.7,48.2,0.7,0
27.1548,86.7873,13:34,2024-02-10,23.9,33.0,5.6,923.6,51.4,2.5,0
27.1426,87.1738,13:34,2024-02-10,22.9,23.0,5.8,911.0,47.1,2.9,0
27.6101,84.1985,13:34,2024-02-10,22.5,44.0,7.5,984.5,61.6,2.7,0
27.5573,84.3922,13:34,2024-02-10,22.7,43.0,7.1,981.9,55.9,1.2,0
27.5599,84.4065,13:34,2024-02-10,23.1,43.0,4.9,981.7,48.7,1.2,0
27.5532,84.3986,13:34,2024-02-10,22.4,51.0,6.1,981.0,44.5,1.2,0
27.5553,84.4722,13:34,2024-02-10,23.1,48.0,6.0,980.8,54.7,0.7,0
27.5578,84.4864,13:34,2024-02-10,23.1,43.0,4.9,980.7,41.1,0.7,0
30.0913,80.8044,13:35,2024-02-10,1.6,35.0,2.7,743.3,55.5,31.2,0
30.0881,80.7888,13:35,2024-02-10,-0.6,23.0,4.5,673.9,64.0,18.5,0
29.6036,81.9969,14:16,2024-02-11,17.8,11.0,3.2,845.6,80.9,6.1,0
27.5522,84.451,21:42,2024-02-11,15.7,78.0,6.5,981.1,55.1,0.7,0
28.5478,81.9003,10:28,2024-02-13,13.0,52.0,3.6,832.1,51.9,3.2,0
27.2641,84.6968,10:28,2024-02-13,19.4,67.0,4.5,984.1,60.5,1.7,0
29.8223,80.6099,10:28,2024-02-13,9.9,36.0,2.1,790.3,64.7,34.0,0
27.5451,84.4124,13:59,2024-02-13,24.6,37.0,6.8,978.9,42.4,1.2,0
28.3007,83.9431,13:59,2024-02-13,20.0,27.0,5.6,889.8,44.9,7.0,0
28.3021,83.9536,13:59,2024-02-13,19.3,43.7,4.9,988.6,43.0,28.1,0
28.3221,84.3715,13:59,2024-02-13,14.4,42.0,9.0,827.0,84.2,1.7,0
28.0657,84.3197,13:59,2024-02-13,22.8,29.0,9.1,932.8,64.4,14.7,0
27.9254,83.3393,13:59,2024-02-13,22.5,39.0,8.7,932.8,42.2,23.8,0
27.5586,84.4432,13:59,2024-02-13,25.9,31.0,4.3,980.6,87.6,0.7,0
27.56,84.454,13:59,2024-02-13,25.9,31.0,4.3,980.5,43.0,0.7,0
26.6667,86.9728,13:59,2024-02-13,26.0,31.0,3.3,992.2,52.6,13.6,0
27.5408,84.5235,13:59,2024-02-13,24.8,33.0,7.9,979.8,58.3,0.7,0
27.3591,83.8493,13:59,2024-02-13,24.0,43.0,5.5,989.3,87.0,1.4,0
26.6683,86.9869,13:59,2024-02-13,26.0,31.0,3.3,992.2,67.7,13.6,0
29.5698,81.4405,14:00,2024-02-13,11.5,34.0,8.5,767.6,48.9,15.8,0
28.9362,82.5315,14:00,2024-02-13,9.3,46.0,7.6,759.2,47.4,1.8,0
26.9359,87.3438,21:25,2024-02-13,15.9,57.0,6.4,972.1,53.8,10.3,0
26.9433,87.3431,02:05,2024-02-12,8.9,78.0,6.6,922.8,85.2,0.0,0
26.9401,87.349,09:31,2024-02-14,16.9,59.0,5.9,941.0,69.3,3.0,0
26.927,87.3333,13:02,2024-02-14,21.2,39.0,5.6,954.1,53.5,6.9,0
28.7663,80.1481,14:41,2024-02-14,25.0,38.0,6.2,981.2,82.5,20.4,0
27.0772,86.6644,10:11,2024-02-15,16.5,50.2,1.3,994.7,68.1,0.7,0
26.4541,87.2371,10:11,2024-02-15,20.1,72.0,5.1,994.1,68.7,10.2,0
27.0097,85.035,13:43,2024-02-15,24.8,43.0,10.9,990.6,88.0,3.1,0
27.1191,85.1991,13:43,2024-02-15,24.0,41.0,10.1,986.4,43.0,0.7,0
27.1175,85.1888,13:43,2024-02-15,24.0,41.0,10.1,986.3,57.6,0.7,0
27.1281,85.1973,13:43,2024-02-15,24.0,41.0,10.1,986.6,67.1,0.7,0
26.9215,85.5403,13:43,2024-02-15,25.6,39.0,10.0,990.4,50.5,3.5,0
26.8453,85.3455,13:43,2024-02-15,25.0,43.0,11.3,992.0,49.9,5.9,0
27.5401,84.2326,13:44,2024-02-15,24.3,34.0,4.5,983.3,51.6,1.2,0
27.5476,84.2196,13:44,2024-02-15,24.4,34.0,4.5,984.0,49.8,1.2,0
27.6044,84.1796,13:44,2024-02-15,24.6,32.0,6.6,984.9,69.2,2.5,0
27.9574,84.9407,13:44,2024-02-15,20.8,33.0,4.7,914.3,42.4,19.2,0
28.4364,84.8705,13:44,2024-02-15,11.1,54.0,4.7,792.5,65.4,11.8,0
27.5383,84.2215,13:44,2024-02-15,24.4,34.0,4.5,984.3,45.7,1.2,0
27.5361,84.5036,13:44,2024-02-15,24.7,34.0,5.5,979.6,46.3,0.7,0
29.556,82.2003,10:51,2024-02-16,13.9,35.0,7.0,795.9,42.6,1.3,0
27.5591,84.4611,14:25,2024-02-16,25.9,36.0,6.8,979.9,53.8,0.7,0
27.5552,84.4667,14:25,2024-02-16,25.8,45.0,8.0,980.9,66.1,0.7,0
